Year,State,Deaths
2019,AL,1018
2019,AK,45
2019,AZ,955
2019,AR,623
2019,CA,5664
2019,CO,468
2019,CT,563
2019,DE,132
2019,FL,2705
2019,GA,1299
2019,HI,366
2019,ID,231
2019,IL,2108
2019,IN,933
2019,IA,585
2019,KS,525
2019,KY,850
2019,LA,656
2019,ME,301
2019,MD,827
2019,MA,1217
2019,MI,1662
2019,MN,539
2019,MS,789
2019,MO,1038
2019,MT,153
2019,NE,355
2019,NV,458
2019,NH,194
2019,NJ,1270
2019,NM,347
2019,NY,4286
2019,NC,1733
2019,ND,141
2019,OH,1930
2019,OK,640
2019,OR,487
2019,PA,2483
2019,RI,178
2019,SC,686
2019,SD,187
2019,TN,1332
2019,TX,3158
2019,UT,300
2019,VT,52
2019,VA,1100
2019,WA,877
2019,WV,402
2019,WI,758
2019,WY,99
2018,AL,1268
2018,AK,68
2018,AZ,1116
2018,AR,670
2018,CA,6917
2018,CO,568
2018,CT,757
2018,DE,167
2018,FL,3091
2018,GA,1530
2018,HI,542
2018,ID,235
2018,IL,2564
2018,IN,1118
2018,IA,697
2018,KS,630
2018,KY,969
2018,LA,824
2018,ME,312
2018,MD,973
2018,MA,1441
2018,MI,1869
2018,MN,698
2018,MS,910
2018,MO,1477
2018,MT,152
2018,NE,394
2018,NV,527
2018,NH,265
2018,NJ,1465
2018,NM,365
2018,NY,4749
2018,NC,2064
2018,ND,152
2018,OH,2395
2018,OK,809
2018,OR,530
2018,PA,2887
2018,RI,192
2018,SC,882
2018,SD,245
2018,TN,1646
2018,TX,3516
2018,UT,353
2018,VT,87
2018,VA,1283
2018,WA,930
2018,WV,539
2018,WI,1075
2018,WY,128
2017,AL,1176
2017,AK,66
2017,AZ,876
2017,AR,720
2017,CA,6340
2017,CO,577
2017,CT,675
2017,DE,184
2017,FL,3057
2017,GA,1400
2017,HI,637
2017,ID,255
2017,IL,2402
2017,IN,1078
2017,IA,578
2017,KS,546
2017,KY,932
2017,LA,785
2017,ME,301
2017,MD,990
2017,MA,1433
2017,MI,1798
2017,MN,697
2017,MS,782
2017,MO,1281
2017,MT,185
2017,NE,393
2017,NV,636
2017,NH,230
2017,NJ,1337
2017,NM,338
2017,NY,4517
2017,NC,2076
2017,ND,147
2017,OH,2243
2017,OK,625
2017,OR,573
2017,PA,2718
2017,RI,206
2017,SC,723
2017,SD,217
2017,TN,1656
2017,TX,2954
2017,UT,334
2017,VT,86
2017,VA,1245
2017,WA,1041
2017,WV,458
2017,WI,974
2017,WY,115